,subjid,efhgba1_diff,effpg_diff,Diarrhoea,Dyspepsia,Nausea,Vomiting
count,152.0,152.0,152.0,152.0,152.0,152.0,152.0
mean,655.38,-1.6,-2.81,0.07,0.09,0.08,0.02
std,359.89,1.27,2.8,0.26,0.29,0.27,0.14
